2018-03-14,positive
2018-03-13,positive
2018-03-08,positive
2018-02-22,neutral
2018-02-21,negative
2018-02-16,negative
2018-02-16,neutral
2018-02-15,neutral
2018-02-15,neutral
2018-02-14,positive
2018-02-14,negative
2018-02-11,neutral
2018-02-10,neutral
2018-02-09,neutral
2018-02-07,neutral
2018-02-07,positive
2018-02-07,positive
2018-02-06,neutral
2018-02-06,positive
2018-02-06,positive
2018-02-06,positive
2018-02-05,neutral
2018-02-01,positive
2018-02-01,negative
2018-02-01,negative
2018-01-31,positive
2018-01-31,positive
2018-01-30,positive
2018-01-30,positive
2018-01-29,negative
2018-01-28,positive
2018-01-26,neutral
2018-01-26,neutral
2018-01-24,neutral
2018-01-24,neutral
2018-01-23,neutral
2018-01-23,positive
2018-01-23,positive
2018-01-17,neutral
2017-12-24,positive
2017-12-21,positive
2017-12-15,negative
2017-12-11,negative
2017-12-07,positive
2017-12-05,positive
2017-12-05,positive
2017-11-28,neutral
2017-11-27,positive
2017-11-27,neutral
2017-11-20,positive
2017-11-16,positive
2017-11-16,positive
2017-11-16,positive
2017-11-13,negative
2017-11-13,negative
2017-11-09,neutral
2017-11-08,neutral
2017-11-07,negative
2017-11-07,negative
2017-11-01,neutral
2017-10-30,neutral
2017-10-27,neutral
2017-10-27,neutral
2017-10-24,positive
2017-10-20,positive
2017-10-18,neutral
2017-10-17,neutral
2017-10-16,neutral
2017-10-13,negative
2017-10-11,positive
2017-10-11,negative
2017-10-11,negative
2017-10-10,positive
2017-10-05,positive
2017-09-29,positive
2017-09-20,positive
2017-09-14,neutral
2017-09-11,positive
2017-09-11,negative
2017-09-06,positive
2017-09-01,neutral
2017-08-31,positive
2017-08-30,positive
2017-08-30,positive
2017-08-28,positive
2017-08-24,positive
2017-08-24,positive
2017-08-24,negative
2017-08-24,positive
2017-08-23,negative
2017-08-22,positive
2017-08-22,positive
2017-08-19,positive
2017-08-17,positive
2017-08-14,positive
2017-08-10,positive
2017-08-07,neutral
2017-08-07,positive
2017-08-04,neutral
2017-08-03,positive
2017-07-31,neutral
2017-07-28,neutral
2017-07-27,neutral
2017-07-25,neutral
2017-07-24,neutral
2017-07-21,neutral
2017-07-19,positive
2017-07-13,neutral
2017-07-12,neutral
2017-07-12,neutral
2017-07-10,negative
2017-07-07,neutral
2017-07-07,neutral
2017-07-06,positive
2017-06-29,neutral
2017-06-29,positive
2017-06-29,negative
2017-06-29,negative
2017-06-28,neutral
2017-06-28,neutral
2017-06-27,neutral
2017-06-27,neutral
2017-06-27,neutral
2017-06-22,positive
2017-06-22,neutral
2017-06-21,neutral
2017-06-21,negative
2017-06-21,positive
2017-06-20,neutral
2017-06-18,positive
2017-06-18,positive
2017-06-15,neutral
2017-06-14,neutral
2017-06-13,positive
2017-06-12,negative
2017-06-08,neutral
2017-06-08,positive
2017-06-07,neutral
2017-06-06,neutral
2017-06-02,neutral
2017-05-31,negative
2017-05-31,positive
2017-05-26,negative
2017-05-25,neutral
2017-05-25,negative
2017-05-23,neutral
2017-05-22,neutral
2017-05-22,neutral
2017-05-22,neutral
2017-05-19,neutral
2017-05-19,positive
2017-05-18,neutral
2017-05-18,neutral
2017-05-18,neutral
2017-05-17,positive
2017-05-16,neutral
2017-05-16,positive
2017-05-16,positive
2017-05-15,neutral
2017-05-15,neutral
2017-05-15,neutral
2017-05-14,positive
2017-05-13,neutral
2017-05-12,neutral
2017-05-12,neutral
2017-05-12,negative
2017-05-12,neutral
2017-05-10,neutral
2017-05-10,positive
2017-05-09,neutral
2017-05-09,negative
2017-05-09,positive
2017-05-09,negative
2017-05-09,negative
2017-05-08,positive
2017-05-08,positive
2017-05-05,neutral
2017-05-04,neutral
2017-05-04,neutral
2017-05-04,neutral
2017-05-04,negative
2017-05-04,positive
2017-05-03,negative
2017-05-02,neutral
2017-05-02,neutral
2017-05-01,neutral
2017-05-01,positive
2017-04-28,neutral
2017-04-28,neutral
2017-04-27,neutral
2017-04-25,neutral
2017-04-25,neutral
2017-04-24,positive
2017-04-24,negative
2017-04-24,positive
2017-04-21,neutral
2017-04-20,neutral
2017-04-20,positive
2017-04-20,positive
2017-04-19,negative
2017-04-18,positive
2017-04-17,neutral
2017-04-17,negative
2017-04-14,negative
2017-04-14,negative
2017-04-13,negative
2017-04-13,neutral
2017-04-12,neutral
2017-04-12,negative
2017-04-11,positive
2017-04-10,negative
2017-04-10,neutral
2017-04-10,neutral
2017-04-09,positive
2017-04-07,positive
2017-04-07,neutral
2017-04-06,neutral
2017-04-06,negative
2017-04-05,negative
2017-04-05,positive
2017-04-04,negative
2017-04-03,neutral
2017-04-01,positive
2017-03-31,negative
2017-03-30,neutral
2017-03-28,neutral
2017-03-27,neutral
2017-03-22,neutral
2017-03-21,negative
2017-03-21,neutral
2017-03-20,neutral
2017-03-17,positive
2017-03-16,positive
2017-03-16,neutral
2017-03-16,neutral
2017-03-15,positive
2017-03-15,negative
2017-03-14,neutral
2017-03-14,neutral
2017-03-14,positive
2017-03-10,positive
2017-03-10,neutral
2017-03-09,positive
2017-03-08,neutral
2017-03-08,neutral
2017-03-08,neutral
2017-03-08,neutral
2017-03-08,neutral
2017-03-07,neutral
2017-03-06,neutral
2017-03-06,neutral
2017-03-03,negative
2017-03-02,negative
2017-03-02,neutral
2017-03-01,neutral
2017-03-01,positive
2017-03-01,neutral
2017-02-28,neutral
2017-02-27,negative
2017-02-27,negative
2017-02-24,negative
2017-02-24,neutral
2017-02-23,positive
2017-02-23,neutral
2017-02-23,negative
2017-02-22,positive
2017-02-22,neutral
2017-02-22,neutral
2017-02-21,neutral
2017-02-21,negative
2017-02-17,neutral
2017-02-17,neutral
2017-02-16,neutral
2017-02-16,neutral
2017-02-15,neutral
2017-02-15,neutral
2017-02-14,positive
2017-02-14,neutral
2017-02-14,positive
2017-02-13,positive
2017-02-13,negative
2017-02-11,neutral
2017-02-10,neutral
2017-02-10,positive
2017-02-09,neutral
2017-02-08,negative
2017-02-08,positive
2017-02-08,negative
